id,state,name,address,city,website,email,tel,fax,image,latitude,longitude,likes,rating,status,type
1,Johor,"Klinik Kesihatan, Jalan Abdul Samad"," Jalan Abdul Samad,80100 Johor Bahru, Johor",Johor Bahru,,,07-2228015,07-2246014,,0,0,0,0,NEW,dental
2,Johor,Hospital Sultanah Aminah,"80100 Johor Bahru , Johor",Johor Bahru,,,07-2246812,,,0,0,0,0,NEW,dental
3,Johor,Hospital Sultan Ismail,"Jalan Persiaran Mutiara Emas Utama, Taman Mount Austin, 81100 Johor Bahru Johor",Johor Bahru,,,07-3565000,,,0,0,0,0,NEW,dental
4,Johor,Klinik Kesihatan Pasir Gudang,"81700 Johor Bahru, Johor",Johor Bahru,,,07-2510594,,,0,0,0,0,NEW,dental
5,Johor,Klinik Pergigian Masai,"Jalan Sekolah, 81750 Johor Bahru, Johor",Johor Bahru,,,07-2510764,,,0,0,0,0,NEW,dental
6,Johor,Klinik Kesihatan Tebrau,"Taman Seri Tebrau,80950 Johor Bahru, Johor",Johor Bahru,,,07-3342305,,,0,0,0,0,NEW,dental
7,Johor,Klinik Kesihatan Tampoi,"Tampoi, 81200 Johor Bahru, Johor",Johor Bahru,,,07-2384415,,,0,0,0,0,NEW,dental
8,Johor,Klinik Kesihatan Larkin,"Johor Bahru, 80950 Johor",Johor Bahru,,,07-2233249,,,0,0,0,0,NEW,dental
9,Johor,Klinik Kesihatan Klinik Pesakit Luar Johor Bahru,"Jalan Mahmoodiah, 80100 Johor Bahru, Johor",Johor Bahru,,,07-2266166,,,0,0,0,0,NEW,dental
10,Johor,Klinik Kesihatan Sultan Ismail Johor Bahru,"Taman Mount Austin, 81100 Johor Bahru, Johor",Johor Bahru,,,07-73577131,,,0,0,0,0,NEW,dental
11,Johor,Klinik Pergigian Taman Tun Aminah,"Taman Tun Aminah, 81300 Johor Bahru, Johor",Johor Bahru,,,07-5560685,,,0,0,0,0,NEW,dental
12,Johor,Klinik Kesihatan Kempas,"Kempas,81200 Johor Bahru Johor",Johor Bahru,,,07-2382060,,,0,0,0,0,NEW,dental
13,Johor,Klinik Kesihatan Taman Universiti,"Taman Universiti, 81300 Johor Bahru, Johor",Johor Bahru,,,07-5216809,,,0,0,0,0,NEW,dental
14,Johor,Klinik Kesihatan Ulu Tiram,"Ulu Tiram, 81800 Johor Bahru, Johor",Johor Bahru,,,07-8611902,,,0,0,0,0,NEW,dental
15,Johor,Klinik Kesihatan Majidee,"Kampong Majidee Johor Bahru,80950 Johor",Johor Bahru,,,07-3324139,,,0,0,0,0,NEW,dental
16,Johor,Klinik Kesihatan Gelang Patah,"kampong gelang Patah,81550 Johor",Gelang Patah,,,07-5101252,,,0,0,0,0,NEW,dental
17,Johor,Klinik Pergigian Sekolah kanak-Kanak Spastik,"138 Jln. Dato' Menteri , 8100 Johor Bahru, Johor",Johor Bahru,,,07-2235452,,,0,0,0,0,NEW,dental
18,Johor,Hospital Pakar  Sultanah Fatimah Muar,"Jalan Salleh, 84000 Muar, Johor",Muar,,,06-9521901,06-9526430,,0,0,0,0,NEW,dental
19,Johor,Klinik Pergigian Pakar Ortodontik,"Jalan Mariam, 84000 Muar, Johor",Muar,,,06-9534629,06-9534629,,0,0,0,0,NEW,dental
20,Johor,Klinik Kesihatan Bandar Maharani,"Jalan Salleh, 84000 Muar, Johor",Muar,,,06-9539704,06-9539719,,0,0,0,0,NEW,dental
21,Johor,Klinik Kesihatan Parit Jawa,84160 Muar Johor,Muar,,,06-9874755,06-9874755,,0,0,0,0,NEW,dental
22,Johor,Klinik Kesihatan Bukit Pasir,"Bukit Pasir 84300 Muar, Johor",Muar,,,06-9850049,,,0,0,0,0,NEW,dental
23,Johor,Klinik Kesihatan Lenga,"Lenga 84040 Muar, Johor",Muar,,,06-9711445,,,0,0,0,0,NEW,dental
