Type,Name,postcode,district,state,latitude,longitude,no.of. Bed
Hospital,"HOSPITAL SULTANAH NUR ZAHIRAH, KUALA TERENGGANU",20400,Kuala Terengganu,Terengganu,5.324317,103.151292,0
Hospital,HOSPITAL LIKAS,88996,Kota Kinabalu,Sabah,6.01396,116.11912,0
Hospital,HOSPITAL TUARAN,89207,Tuaran,Sabah,6.14395,116.21911,0
Hospital,"HOSPITAL DUCHESS OF KENT, SANDAKAN",90000,Sandakan,Sabah,5.858905,118.102986,0
Hospital,HOSPITAL DALAT,96300,Dalat,Sarawak,2.861584,111.882231,8
Hospital,HOSPITAL RAJAH CHARLES BROOKE MEMORIAL,93250,Kuching,Sarawak,1.388798,110.322502,20
Hospital,HOSPITAL JELI,17600,Jeli,Kelantan,5.701156,101.844461,24
Hospital,"HOSPITAL SULTANAH HAJJAH KALSOM, CAMERON HIGHLANDS",39000,Cameron Highlands,Pahang,4.466803,101.390673,28
Hospital,HOSPITAL ALOR GAJAH,78000,Alor Gajah,Melaka,2.381015,102.207352,29
Hospital,HOSPITAL GUA MUSANG,18300,Gua Musang,Kelantan,4.858255,101.954683,34
Hospital,HOSPITAL SIMUNJAN,94800,Simunjan,Sarawak,1.38258,110.75081,42
Hospital,HOSPITAL LUNDU,94500,Lundu,Sarawak,1.6719,109.84854,46
Hospital,HOSPITAL DARO,96200,Daro,Sarawak,2.51615,111.4333,46
Hospital,HOSPITAL LAWAS,98850,Lawas,Sarawak,4.85454,115.4047,46
Hospital,HOSPITAL BETONG,95700,Betong ,Sarawak,1.37434,111.57376,48
Hospital,HOSPITAL KUALA PENYU,89740,Kuala Penyu,Sabah,5.5608,115.58533,48
Hospital,HOSPITAL PITAS,89100,Pitas,Sabah,6.71252,117.02924,48
Hospital,HOSPITAL KUNAK,91209,Lahad Datu,Sabah,4.67799,118.23137,48
Hospital,HOSPITAL MUADZAM SHAH,26700,Rompin,Pahang,3.053089,103.091749,49
